Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type
1674,2012-12-29,John Cena & The Miz vs Team Rhodes Scholars (Cody Rhodes & Damien Sandow),John Cena & The Miz,Team Rhodes Scholars (Cody Rhodes & Damien Sandow),Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1673,2012-12-29,John Cena & Sheamus vs Dolph Ziggler & The Big Show,John Cena & Sheamus,Dolph Ziggler & The Big Show,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1672,2012-12-28,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1671,2012-12-27,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1670,2012-12-26,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1669,2012-12-18,John Cena & Sheamus vs Dolph Ziggler & The Big Show,John Cena & Sheamus,Dolph Ziggler & The Big Show,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Friday Night SmackDown ,WWE SmackDown,Televised
1668,2012-12-18,John Cena vs Alberto Del Rio,John Cena,Alberto Del Rio,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1667,2012-12-17,John Cena & Sheamus vs Dolph Ziggler & The Big Show,John Cena & Sheamus,Dolph Ziggler & The Big Show,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1666,2012-12-17,John Cena & Vickie Guerrero vs AJ Lee & Dolph Ziggler,John Cena & Vickie Guerrero,AJ Lee & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1665,2012-12-16,Dolph Ziggler vs John Cena,Dolph Ziggler,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,"WWE TLC: Tables, Ladders & Chairs 2012","WWE TLC: Tables, Ladders & Chairs",PPV/PLE
